Name,Bus,PowerRating,EnergyRating,Type
SolarUPV_1,55,1.0,NaN,PV
SolarUPV_2,56,1.0,NaN,PV
SolarUPV_3,57,1.0,NaN,PV
SolarUPV_4,60,1.0,NaN,PV
SolarUPV_5,62,1.0,NaN,PV
SolarUPV_6,51,1.0,NaN,PV
SolarUPV_7,65,1.0,NaN,PV
SolarUPV_8,71,1.0,NaN,PV
SolarUPV_9,45,1.0,NaN,PV
SolarUPV_10,42,1.0,NaN,PV
SolarUPV_11,39,1.0,NaN,PV
SolarUPV_12,77,1.0,NaN,PV
SolarUPV_13,79,1.0,NaN,PV
SolarUPV_14,80,1.0,NaN,PV
Wind_15,55,1.0,NaN,WT
Wind_16,56,1.0,NaN,WT
Wind_17,57,1.0,NaN,WT
Wind_18,60,1.0,NaN,WT
Wind_19,62,1.0,NaN,WT
Wind_20,51,1.0,NaN,WT
Wind_21,65,1.0,NaN,WT
Wind_22,71,1.0,NaN,WT
Wind_23,48,1.0,NaN,WT
Wind_24,45,1.0,NaN,WT
Wind_25,47,1.0,NaN,WT
Wind_26,42,1.0,NaN,WT
Wind_27,39,1.0,NaN,WT
Wind_28,77,1.0,NaN,WT
Wind_29,74,1.0,NaN,WT
Wind_30,82,1.0,NaN,WT
Wind_31,79,1.0,NaN,WT
Wind_32,80,1.0,NaN,WT
Wind_33,80,1.0,NaN,WT
Wind_34,79,1.0,NaN,WT
Storage_35,55,1.0,NaN,BA
Storage_36,56,1.0,NaN,BA
Storage_37,57,1.0,NaN,BA
Storage_38,60,1.0,NaN,BA
Storage_39,62,1.0,NaN,BA
Storage_40,51,1.0,NaN,BA
Storage_41,65,1.0,NaN,BA
Storage_42,71,1.0,NaN,BA
Storage_43,48,1.0,NaN,BA
Storage_44,38,1.0,NaN,BA
Storage_45,45,1.0,NaN,BA
Storage_46,37,1.0,NaN,BA
Storage_47,42,1.0,NaN,BA
Storage_48,39,1.0,NaN,BA
Storage_49,77,1.0,NaN,BA
Storage_50,74,1.0,NaN,BA
Storage_51,78,1.0,NaN,BA
Storage_52,81,1.0,NaN,BA
Storage_53,82,1.0,NaN,BA
Storage_54,79,1.0,NaN,BA
Storage_55,80,1.0,NaN,BA
Storage_56,38,1.0,NaN,BA
Load_21,21,NaN,NaN,LOAD
Load_29,29,NaN,NaN,LOAD
Load_35,35,NaN,NaN,LOAD
Load_37,37,NaN,NaN,LOAD
Load_38,38,NaN,NaN,LOAD
Load_39,39,NaN,NaN,LOAD
Load_40,40,NaN,NaN,LOAD
Load_41,41,NaN,NaN,LOAD
Load_42,42,NaN,NaN,LOAD
Load_43,43,NaN,NaN,LOAD
Load_44,44,NaN,NaN,LOAD
Load_45,45,NaN,NaN,LOAD
Load_46,46,NaN,NaN,LOAD
Load_47,47,NaN,NaN,LOAD
Load_48,48,NaN,NaN,LOAD
Load_49,49,NaN,NaN,LOAD
Load_50,50,NaN,NaN,LOAD
Load_51,51,NaN,NaN,LOAD
Load_52,52,NaN,NaN,LOAD
Load_53,53,NaN,NaN,LOAD
Load_54,54,NaN,NaN,LOAD
Load_55,55,NaN,NaN,LOAD
Load_56,56,NaN,NaN,LOAD
Load_57,57,NaN,NaN,LOAD
Load_58,58,NaN,NaN,LOAD
Load_59,59,NaN,NaN,LOAD
Load_60,60,NaN,NaN,LOAD
Load_61,61,NaN,NaN,LOAD
Load_62,62,NaN,NaN,LOAD
Load_63,63,NaN,NaN,LOAD
Load_64,64,NaN,NaN,LOAD
Load_65,65,NaN,NaN,LOAD
Load_66,66,NaN,NaN,LOAD
Load_67,67,NaN,NaN,LOAD
Load_68,68,NaN,NaN,LOAD
Load_69,69,NaN,NaN,LOAD
Load_70,70,NaN,NaN,LOAD
Load_71,71,NaN,NaN,LOAD
Load_72,72,NaN,NaN,LOAD
Load_73,73,NaN,NaN,LOAD
Load_74,74,NaN,NaN,LOAD
Load_75,75,NaN,NaN,LOAD
Load_76,76,NaN,NaN,LOAD
Load_77,77,NaN,NaN,LOAD
Load_78,78,NaN,NaN,LOAD
Load_79,79,NaN,NaN,LOAD
Load_80,80,NaN,NaN,LOAD
Load_81,81,NaN,NaN,LOAD
Load_82,82,NaN,NaN,LOAD
Load_100,100,NaN,NaN,LOAD
Load_102,102,NaN,NaN,LOAD
Load_103,103,NaN,NaN,LOAD
Load_124,124,NaN,NaN,LOAD
Load_125,125,NaN,NaN,LOAD
Load_132,132,NaN,NaN,LOAD
Load_134,134,NaN,NaN,LOAD
Load_138,138,NaN,NaN,LOAD
